Release date,Product,Platform,Impact,Severity,Article,Download,Details
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1809 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1809 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1809 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1803 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17058
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1909 for 32-bit Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17054
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1809 for ARM64-based Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17054
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1809 for x64-based Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17054
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1809 for 32-bit Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586793,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586793,CVE-2020-17054
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1803 for ARM64-based Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17054
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1803 for x64-based Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17054
11/10/2020,Microsoft Edge (EdgeHTML-based),Windows 10 Version 1803 for 32-bit Systems,Remote Code Execution,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17054
11/10/2020,Internet Explorer 11,Windows 10 Version 2004 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17053
11/10/2020,Internet Explorer 11,Windows 10 Version 2004 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17053
11/10/2020,Internet Explorer 11,Windows 10 Version 2004 for 32-bit Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17053
11/10/2020,Internet Explorer 11,Windows 10 Version 1903 for ARM64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17053
11/10/2020,Internet Explorer 11,Windows 10 Version 1903 for x64-based Systems,Remote Code Execution,Critical,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17053
11/10/2020,Windows 10 Version 1909 for 32-bit Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17113
11/10/2020,Windows 10 Version 1909 for ARM64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586786,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586786,CVE-2020-17113
11/10/2020,Windows 10 Version 2004 for ARM64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17113
11/10/2020,Windows 10 Version 1607 for x64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586830,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586830,CVE-2020-17113
11/10/2020,Windows 10 Version 1607 for 32-bit Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586830,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586830,CVE-2020-17113
11/10/2020,Windows 10 Version 1803 for x64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586785,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586785,CVE-2020-17113
11/10/2020,Windows 10 Version 20H2 for ARM64-based Systems,,Information Disclosure,Important,https://support.microsoft.com/help/4586781,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586781,CVE-2020-17113
11/10/2020,Microsoft Visual Studio 2019 version 16.8,,Tampering,Important,https://docs.microsoft.com/en-us/visualstudio/releases/2019/release-notes-v16.8,http://aka.ms/vs/16/release/latest,CVE-2020-17100
11/10/2020,HEVC Video Extensions,,Remote Code Execution,Critical,,,CVE-2020-17110
11/10/2020,HEVC Video Extensions,,Remote Code Execution,Critical,,,CVE-2020-17109
11/10/2020,HEVC Video Extensions,,Remote Code Execution,Critical,,,CVE-2020-17107
11/10/2020,WebP Image Extension,,Information Disclosure,Important,,,CVE-2020-17102
11/10/2020,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586845,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586845,CVE-2020-17088
11/10/2020,Windows Server 2012 R2 (Server Core installation),,Elevation of Privilege,Important,https://support.microsoft.com/help/4586823,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586823,CVE-2020-17088
11/10/2020,Windows Server 2012 R2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586845,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586845,CVE-2020-17088
11/10/2020,Windows Server 2012 R2,,Elevation of Privilege,Important,https://support.microsoft.com/help/4586823,https://catalog.update.microsoft.com/v7/site/Search.aspx?q=KB4586823,CVE-2020-17088
